Place	Latitude	Longitude	LatLong	Also Known as	Fictional	City	Country	Associated People	Volumes & Pages	Volume	Start page	End Page	Events
Paris	48.85693	 2.3412	"48.85693, 2.3412"	See Abbaye-aux-Bois; Bois de Boulogne; Buttes-Chaumont; Champs-Elysées; Trocadéro.	No	Paris	France	"Swann, Gilberte, Odette"	"I 17-18, II 41, III 8-9, IV 39, V 13-14, VI 39-201"				"Swann's house on the Quai d'Orléans: I 17-18 (cf. 293). The dome of Saint-Augustin seen across a jumble of roofs—a Piranesi view of Paris: 77. ""Melancholy neighbour¬hood"" of the Champs-Elysées where Gilberte lives: 171. Swann scours the boulevards in search of Odette: 274-8. Odette walks in the Rue Abbattucci (now Rue de la Boétie): 289. Odette's idea of the smart places in Paris: 292-3. The frozen Seine from the Pont de la Concorde: 478. M's plan of Paris and obsession with the Swanns' neighbourhood: 496, 499-501. M's mother meets Swann in the Trois Quartiers: 498-9. Paris in autumn: 506-8. The Sainte Chapelle ""the pearl of them all"" (Norpois): II 41. Restaurants of Paris: 65- 7. M's reactions to Parisian architecture; Gabriel's palaces compared unfavourably to the Trocadéro: 70-71. Paris ""darker than today""; indoor and outdoor lighting; Parisian ""winter-gardens"": 193. Spring in Paris; Mme Swann's walks in the Avenue du Bois de Boulogne (now Avenue Foch): 244-52. The Gare Saint-Lazare: 256-7. Paris street names: 305. Rue d'Aboukir, in the Jewish quarten 367. The Hôtel de Guermantes, a palace in the heart of Paris: III 8-9. Streets of Paris aflower with unknown beauties: 60. Suburbs of Paris: 173, 175. Rachel and lier professional friends—another Paris in the heart of Paris (Place Pigalle, Boulevard de Clichy): 182. Paris in the late afternoon: 233. The Europe distria: 493. Poor quarters of Paris reminiscent of Venice; roof-top views: 661-2. Place de la Concorde on a summer evening: IV 39. A populous, nocturnal Paris brought miraculously close to M by the téléphoné: 151, 155. M. de Chevregny sees all the shows in Paris: 562-3. Charlus's dissertation on the ecclesiastical background of Paris street names; the Juden- gasse: 584-6. Andrée to take Albertine to the Buttes- Chaumont (q.v.): V 13-14. Street cries of Paris: 124-8, 136- 8, 148-50. Charm of the old aristocratie quarters lies in the fa a that they are also ptebeian: 125. M's drive through Paris with Albertine: 183-94; houses in the boulevards and avenues ""a pink congélation of sunshine and cold"": 183; girls in shop-doors, in the streets, in the Bois (q.v.): 183-90; Albertine on the Trocadéro (q.v.): 184-5; charm of the new districts: 185; full moon over Paris: 194. M meets Gisèle in Passy: 196-7. The ""spoken newspaper"" of Paris: 244. Albertine spends three days in Auteuil: 381. Paris by moon- light, seen from the Porte Maillot: 466. Long summer evenings in Paris: 550-51. Paris in war-time: VI 39-201 passim. Fashion and pleasure, in the absence of the arts; com- parison with the Directory: 39-53. The black-out: 53-6. Zeppelin raids: 83-5. Nightfall over Paris; comparison with 1815: 88-90, 136-7. Paris as Pompeii: 143-4 (cf. 178); or as Harun al-Rashid's Baghdad: 147. Hotels and shops closed: 147-8. M walks through Paris in an air-raid: 176, 185. The catacombs of the Métro: 177. The Prince de Guermantes's new house in the Avenue du Bois: 205-6. The streets near the Champs-Elysées: 206. (See Abbaye-aux-Bois; Bois de Boulogne; Buttes-Chaumont; Champs-Elysées; Trocadéro.) "
Parma	44.79854	 10.340195	"44.79854, 10.340195"		No	Parma	Italy	"M, Princesse de Parme, Guermantes"	"I 467, II 195, 246-7, III 492-3, IV 217"				"Poetry of the name: I 467. Parma violets: II 195, 246-7 (cf. III 493). Evoked for M on meeting the Princesse de Parme: III 492-3. The Duc de Guermantes spends a winter there: 553. The Princess's palace there: IV 217. "
Parville-La-Bingard 	34.01697	 -118.326508	"34.01697, -118.326508"			Parville-La-Bingard 	France	"M, Albertine, Vinteuil"		IV	296		"Station on the little local railway: IV 296. View of Parville from La Raspelière: 460. Etymology: 467. M drops Albertine there after their outings: 481, 484. The cliffs of Parville: 487, 614. Albertine's révélation about her relationship with Mlle Vinteuil occurs as the train enters Parville station: 595-8. (Sometimes con- fused with Incarville (q.v.).)"
Pierrefonds	45.495152	 -73.847183	"45.495152, -73.847183"			Pierrefonds	France	"Verdurins, Odette, Swann"		I	352	354	The Verdurins take Odette to see the château: I 352. The Marquis de Forestelle has a house in the neigh¬bourhood; Swann considers inviting himself to stay in order to intercept Odette at the château: 353—4.
Pisa	43.70996	 10.39946	"43.70996, 10.39946"		No	Pisa	Italy	M		I	469	470	One of the Italian towns that M imagines visiting: I 469-70 (cf. V 190).
Pompeii	43.18507	 -84.60202	"43.18507, -84.60202"			Pompeii			"II 565, III 365, VI 143-4, 178"				"""Arrested in an accustomed movement"", as at the destruction of Pompeii: II 565. ""Like a hearse on some Pompeian terracotta"": III 365. War-time Paris compared to Pompeii: VI 143-4, 178."
Pont-A-Couleuvre 	41.85099	 -80.305229	"41.85099, -80.305229"			Pont-A-Couleuvre 			"II 276, IV 174, 179"				"On the little local railway: II 276. The manager of the Grand Hôtel meets M there: IV 174, 179. M. de Cambremer has seen no snakes there: 374; Brichot gives its etymology: 375."
Pont-Aven	47.855475	 -3.747109	"47.855475, -3.747109"			Pont-Aven				I	464		"One of the stops on the 1.22 train: I 464. What its name evokes: 468 (cf. II 275, 527). "
Pontorson	48.5534	 -1.506399	"48.5534, -1.506399"			Pontorson				I	464		One of the stops on the 1.22 train: I 464. What its name evokes: 468.
Questembert	47.660975	 -2.452104	"47.660975, -2.452104"			Questembert				I	464		One of the stops on the 1.22 train: I 464.What its name evokes: 468.
Quetteholme 	63.469479	 22.31801	"63.469479, 22.31801"			Quetteholme 		"Villeparisis, M and Albertine"	"II 328, IV 454-8"				"Near Balbec. Goal of some of M's excur¬sions with Mme de Villeparisis; its rocks: II 328. M and Albertine drive through it on the way to the church of Saint- Jean-de-la-Haise: IV 454-8, 475-6. Albertine sends M tele- grams and postcards from there: 485."
Quimperle	47.872494	 -3.545385	"47.872494, -3.545385"			Quimperle				I	464		"One of the stops on the 1.22 train: I 464. What its name evokes: 468 (cf. II 275, 527). "
"Raspeliere, La "	40.523519	 -85.149115	"40.523519, -85.149115"			"Raspeliere, La "		"Verdurins, M, Albertine"	"II 3, IV 176, 193;V 321-3"				"Cambremer house rented for the season by the Verdurins: II 3; IV 176, 193. Its situation and view; etymology of the name: 239-40. Compared to Féterne: 241, 245. Mme Verdurin's ""Wednesdays"" there: 294-5. M takes the train with the ""little clan"" to go and dine there: 304-5. The dinner-party: 344-437. M's first impressions; the Ver¬durins' enthusiasm for the place: 350-51. The changes they have made and the Cambremers' reactions to them: 361, 365-6, 371 397-8 403. M calls there with Albertine; its garden and its ""views""; excursions in the neighbourhood: 458-65. Similarities between La Raspelière and Quai Conti: V 321-3."
Rheims	42.403179	 -77.249229	"42.403179, -77.249229"			Rheims		Swann and her daughter	"I 72, II 41, III 529, VI 130, 183"				"The cathedral: I 72. Mme Swann and her daughter go there: 162. ""A positive jewel in stone"" (Norpois): II 41. The statues of Rheims: 368 (cf. 555). Biscuits of Rheims: III 529. Destruction of the cathedral: VI 130, 183."
Rivebelle 	40.523519	 -85.149115	"40.523519, -85.149115"			Rivebelle 		"M and Saint-Loup, Elstin, Verdurin, Lesbian"	"II 293, III 192, IV 339, V 94, VI 222"				"Near Balbec. The summer lasts longer there than at Balbec: II 293. Splendours of Rivebelle almost wholly invisible from Marcouville: 326. Dinners with Saint-Loup there: 443-71 passim. The restaurant and its garden; the wait- ers and the diners; M gets drunk: 448-58. The women in the restaurant: 458-60 (cf. III 451). M and Saint-Loup meet Elstin 468-71. Seen across the bay: 617 (cf. IV 256). M remembers getting drunk there: III 192. Further memories ofevenings at Rivebelle: 451, 456, 459 (cf. IV 502). Its islands and indentations seen from the coach on the way to La Raspelière: IV 339. Denigrated by Mme Verdurin: 427. Wait- ers from Rivebelle at the Grand Hôtel: 449. The ""view of Rivebelle"" at La Raspelière: 460-61. M takes Albertine to lunch there; lier interest in the waiter: 479-80. M returns alone, and again drinks too much: 480. Lesbian dinner-party there: V 94. Final évocation of Rivebelle: VI 222."
Robinson	39.005805	 -87.739604	"39.005805, -87.739604"			Robinson				III	501		Restaurant-cabaret in the suburbs of Paris: III 501.
Rome	41.90311	 12.49576	"41.90311, 12.49576"			Rome			"I 77, II 37-9, IV 560"				Piranesi views of Rome: I 77. The Rome embassy (will Vaugoubert get the post?): II 37-9. Norpois was counsellor there: 158. M has never been there: IV 560.
Rouen	49.439705	 1.089089	"49.439705, 1.089089"			Rouen			"V 125, VI 144-5"				"Bookstall at one of the doors of the cathedral: V 125. British soldiers based there during the war, it has become ""another town""; beauty of the emaciated saints of the cathedral: VI 144-5."
Romania	45.946945	 24.980395	"45.946945, 24.980395"	Ronsard known there as a nobleman nither than a poet		Romania			"II 367-8, IV 348"				Status of the Jews there: II 367-8 (cf. III 214).Ronsard known there as a nobleman nither than a poet; IV 348.
Roussainville-Le-Pin 	46.41369	 3.89591	"46.41369, 3.89591"			Roussainville-Le-Pin 		"Françoise, M, Gilbene"	"I 12, VI 4, 7-8."				"Near Combray. Its castle keep visible from the little closet smelling of orris-root: I 12. Françoise buys a turkey in Roussainville market: 83, where she goes every Saturday: 130, (cf. 140). Its etymology: 123. Roussainville woods: 179, 185-90. Its white gables carved in relief against the sky: 180. M has never been there: 182, though he longs to do so: 187, and yearns for a village girl: 188-9 (cf. II 269). Gilbene used to play with little boys in the castle keep: VI 4, 7-8. Fought over during the war: 80-81."
Russia	60	90	"60,90"			Russia			"II 367-8, III 118"				Status of the Jews there: II 367-8. The pogroms: III 118.
Saint-Andre-Des-Champs 	50.039327	 5.668868	"50.039327, 5.668868"			Saint-Andre-Des-Champs 		"Françoise's cousins, the Larivières, M and his family, Françoise, Albertine, Andrée, Saint-Loup"	"I 174, III 164, 423; V 691, VI 59"				"Near Combray. Its twin spires: I 174. M and his family shelter under the porch; its Gothic sculptures and their living models: 180-82, 184 (Il 485; III 473). ""An old church, monumental, rustic, and golden as a haystack"": 221. The ethos of Saint-André-des- Champs, as illustrated by Françoise: III 164, 423 (cf. V 656); by Albertine: 423, 427 (cf. V 691); by Andrée: V 691; by Saint-Loup: VI 59; by the butler: 187; by Françoise's cousins, the Larivières: 190-92."
Saint-Cloud	28.24966	 -81.284114	"28.24966, -81.284114"			Saint-Cloud		"Verdurins, M's mother, Albertine, Duc and Duchesse de Guermantes"	"I 323-5, II 260, 264; III 449, V 14"				"Open-air restaurants there patronised by the Verdurins: I 323-5. M's mother moves to a house there during his absence at Balbec: II 260, 264. M goes there with Albertine: III 449. He advises her to go there rather than to the Buttes-Chaumont: V 14. Seen from the Bois de Boulogne: 193. Visited by the Duc and Duchesse de Guermantes: 663-4."
Saint-Frichoux 	43.253761	 2.553239	"43.253761, 2.553239"			Saint-Frichoux 		"M, Albertine"		IV	219		Near Balbec. M sends the lift-boy to find Albertine there: IV 219. Last station before Doncières: 296. Etymology: 382.
Saint-Jean-De-La-Haise 	48.699079	 -1.362108	"48.699079, -1.362108"			Saint-Jean-De-La-Haise 		Albertine		IV	454	459	"Isolated church in the neighbourhood of Balbec, painted by Albertine: IV 454-9. Buried in foliage: 475. ""All pinnacles""; its stone angets: 476. "
Saint-Mars-Le-Vetu 	48.466188	 -2.650177	"48.466188, -2.650177"			Saint-Mars-Le-Vetu 		"M, Villeparisis, Albertine, Charlus and Morel"	"II 328, IV 469"				"Near Balbec. Goal of some of M's excursions with Mme de Villeparisis: II 328. Charlus and Morel bave lunch in a restaurant there: IV 469. Albertine curious as to its etymology: 478 (cf. V 593). Its piscine steeples: 478. Remembered by M: V 548, 593, 619."
Saint-Mars-Le-Vieux 	43.24446	 6.484314	"43.24446, 6.484314"			Saint-Mars-Le-Vieux 		M	"II 276; IV 335, IV 457-8, 475."				"Station on the little local rail¬way: II 276; IV 335. M drives there: IV 457-8, 475."
Saint-Martin-Du-Chene 	45.502289	 -94.669998	"45.502289, -94.669998"			Saint-Martin-Du-Chene 		"Charlus, Brichot"		IV	382		Charlus takes a house near there: IV 382. Brichot gives the etymology of the name: 383. Charlus takes the train there: 510. 
Saint-Pi Erre-Des-Ifs 	49.113069	 0.157091	"49.113069, 0.157091"			Saint-Pi Erre-Des-Ifs 		"Glorious girf, Charlus"		IV	324		One of the stations on the little local railway. Glorious girf with a cigarette gets into the train there: IV 324. Charlus takes a house near there: 382; the name associated with him: 588-9. 
Sicily	38.192705	 14.370535	"38.192705, 14.370535"	See also Agrigento		Sicily	Italy	"Guermantes, Charlus, Prince Foggi"	"II 380, III 686, V 730"				Charlus's ancestors Princes of Sicily: II 380. The Guermantes plan to go there: III 686. Prince Foggi has an estate there: V 730. (See also Agrigento.)
Siena	43.32544	 11.330766	"43.32544, 11.330766"			Siena	Italy		"II 174, IV 560"				"Seductive charms"" of: II 174. Balbec ""as beautiful as Siena"" (Swann): 274. M has not yet been there: IV 560. "
"Sogne, La "	61.31447	 7.1855	"61.31447, 7.1855"			"Sogne, La "		"Albertine, Brichot"	"II 528, IV 219"				Near Balbec. Albertine goes to the races there: II 528. M sends the lift-boy to find Albertine there: IV 219. Stop on the little railway; Brichot gives the etymology of the name: 338. The Cambremers' station: 435.
Spain	35.712709	 -6.916455	"35.712709, -6.916455"			Spain		"Norpois, M's father"		II	41		"Norpois plans to take M's father there: II 41 (cf. 257,323; III 207). Spain ""all the rage"" (Cottard): 82."
Susa	32.194199	 48.243599	"32.194199, 48.243599"			Susa		Nissim Bernard	"II 41, II 409, III 215, IV 75"				Capital of ancient Elam (now part of W. Iran) and residence of Darius and later Kings of Persia. Nissim Bernard like a figure from Susa restored by Mme Dieulafoy: II 409. Bloch's appearance likewise evokes reflexions on monuments from Susa: III 215. The throne-room at Susa: IV 75.
Tangier	37.821333	 -75.991797	"37.821333, -75.991797"			Tangier		"Saint-Loup, Stermaria"		III	400		Saint-Loup meets Mme de Stermaria there: III 400.
Tansonville 	40.523519	 -85.149115	"40.523519, -85.149115"			Tansonville 		"M, Saint-Loup"	"I 6, III 20, V 777-8, VI 1-23"				"The Swanns' place near Combray. M remembers his stay there with Mme de Saint-Loup (Gilberte): I 6 (cf. VI 1 et sqq.). Description of Swann's park; the white fence; the lilacs, the ornamental pond and the water plants; the hawthorns: 162-8, 171-4, 183, 185. Swann yearns after it in the spring in Paris: 325. Remembered by Françoise: III 20. The Saint-Loups settle in there: V 777-8. M goes to stay: 780; VI 1-23; the house and park: 8-9. Tansonvilie during the war (Gilberte's Ietters): 75-6, 79-81. "
Tarn	43.791946	 2.23636	"43.791946, 2.23636"			Tarn				V	30		Correct way of pronouncing: V 30. 
Thiberzy 	50.881989	 10.50975	"50.881989, 10.50975"			Thiberzy 		"M's cousins, Françoise"		I	76		Near Combray. M's cousins come over from Thiberzy for lunch on Sundays: I 76. Etymology: 124. Françoise goes there to fetch a midwife: 129.
Touraine	30.9272	 -83.884399	"30.9272, -83.884399"		No	Touraine		"Mme Bontemps, M, Albertine, Saint-Loup, Aimé"		V	409		"Mme Bontemps has a house there: V 409. M hopes that Albertine has gone there: 492. Saint-Loup sent down to find her: 497, 539-43. Albertine's death: 544-6. M sends Aimé there to investigate: 598; his report on Albertine and the laundry-girl: 599-600."
Tours	47.390279	 0.689614	"47.390279, 0.689614"		No	Tours		M	"III 529, V 618"				Minced pork (rillettes) of Tours: III 529. Horror of the name for M: V 618.
Trieste	45.65065	 13.76709	"45.65065, 13.76709"		No	Trieste	Italy	"Albertine, Vinteuil's friend"		IV	596		"Albertine has spent ""the happiest years of my life"" there with Mlle Vinteuil's friend: IV 596. It becomes, for M, no longer ""a delightful place"" but ""an accursed city"": 601-4."
Trocadero	36.51667	 -6.23333	"36.51667, -6.23333"		No	Paris	France	"M, Albertine, Françoise"	"II 71, V 114, 128; VI 89"				"M finds more style in it than in Gabriel's palaces: II 71. The Trocadéro muséum: 273. M persuades Albertine to go to a gala matinée there instead of calling on the Verdurins: V 114, 128. Léa due to appear there: 157. M sends Françoise to recall Albertine: 166-72. M and Albertine discuss its architecture: 184-5. The towers of the Trocadéro: VI 89."
Twickenham	51.44661	 -0.328229	"51.44661, -0.328229"		No	London	England	Swann	I 19; II 2				London. Residence of the exiled Comte de Paris. Swann invited there: I 19; II 2 (cf. VI 343). 
Venice	33.987545	 -118.472154	"33.987545, -118.472154"		No	Venice			"I 8, IV 244, V 23, 116, 187-9, 195; VI 43"				"Remembered by M: I 8. M's first idea of Venice gleaned from a reproduction of a Titian drawing with the lagoon in the background: 46. The ""Staircase of the Giants"" in the Doges' Palace: 390-91. Potency of the name: 466. Plan for a spring holiday there; the Venice of M's imagination: 469-73 (cf. II 136, 243). The Frari Titian and the Carpaccios of San Giorgio degli Schiavoni: II 12- 13. Bloch's prononciation of the name in English (Ruskin's Stanes of Venice): 369. Mentioned in a quotation from Musset: 402. The Venice of Carpaccio and Veronese evoked by Elstir 552-4. M's dream of Venice: III 162 (cf. V 202). Blend of softness and brittleness of Venetian glass: 400. Perspectives in Venice: 420—21. Its poor quarters resemble those of Paris: 661. Mme de Cambremer-Legrandin detests the Grand Canal: IV 244. M's persistent longing for Venice: V 23, 116, 187-9, 195- Aibenine's Fortuny gowns conjure up the Venice of the Doges: 421-2, and seem to be the ""tempting phan- toms"" of the invisible Venice M has dreamed of for so long: 450, 456. Evocation of Venice in the spring: 470-73. M visits Venice with his mother: 715-52, impressions of the city: 715-20; M's solitary excursions; Venetian women: 719-21, 745-8; its social life: 722-3; the baptistery of St Mark's: 741- 2; Carpaccio: 742-3. Evening in Venice: 746-7. O sole mio; the vision crumbles: 748-52. Mme Verdurin visits Venice during the war: VI 43. M's unsatisfactory ""snapshots"" of Venice: 215-17. The uneven paving-stones; resuscitation of his real memory of Venice: 217-18, 220-2, 224, 229-30."
Versailles	39.885515	 -90.655969	"39.885515, -90.655969"		No	Versailles	France	"Swann, Odette, M, Albertine"	"I 297, III 135, IV 65, V 142-8"				"Swann's liking for it; Odette finds it boring: I 297. M crosses the Bois de Boulogne on his way to Trianon: 506; its chestnut-trees and lilacs: 509. Racliel takes a little house in the neigbhourhood: III 135. The view from the terrace of the palace: 444. The Princess de Guermantes's garden, with its Hubert Robert fountain, is ""Versailles in Paris"": 676; IV 65. Doncières has a spurious look of Versailles: 579. Albertine visits Versailles with the chauffeur: V 142-8. M takes Albertine there: 462-3, Nude statues of goddesses among its groves and fountains: 603"
Vichy	38.106995	 -91.760643	"38.106995, -91.760643"		No	Vichy	France		"III 252, IV 421, V 141"				"Bloch thinks of taking a cure there: III 252. Mme Cottard déclinés to go there on the grounds that ""it's too stufty"": IV 421. Albertine once knew a woman of ill repute there: 576. Albertine on the subject of Vichy waten V 141."
Vieuxvicq 	59.705978	 12.28815	"59.705978, 12.28815"		Yes	Combray 	France			I	216	218	Near Combray. Relationship of its steeple to the twin steeples of Martinville: I 216-18.
Vitre	48.123085	 -1.211844	"48.123085, -1.211844"		Yes	Vitre	France			I	464		One of the stops on the 1.22 train: I 464. What its name evokes: 468.
Vivonne 	46.426273	 0.261143	"46.426273, 0.261143"		Yes	Combray 	France	"Legrandin, M"	"I 55, VI 1-2"				"River near Combray. Its water-lilies recalled with the rest of Combray and its surroundings by the taste of the madeleine dipped in tea: I 55. The apse of Saint-Hilaire seen from its banks: 77-8. Its course visible from the top of the steeple: 125. Meeting with Legrandin on its banks: 154. Runs along the ""Guermantes way""; description of its course: 199-202. Its unattainable source: 205-6. M's dreams of a life of pleasure by the Vivonne; its association with Guermantes: 218-19, 221 III 6, 11, 24). Seeing it again, M finds it ""narrow and ugly"": VI 1-2; he discovers its source: 3."
Voisenon 	48.570737	 2.663783	"48.570737, 2.663783"		Yes	Voisenon 	France	Prince de Guermantes		V	665		The Prince de Guermantes's country seat: V 665.